_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
6906,,7,34,4,4,4,03/12/2019,3,4,4,5,3,5,3,4,3,3,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153357,78,5,49  ST CLAIR AVE W,4,,12,4,1930,2017
6907,,4,24,,3,3,03/05/2019,3,3,3,3,,5,4,4,4,4,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153358,73,5,320  AVENUE RD ,4,,12,4,1925,2017
6908,4,7,68,4,4,4,03/08/2019,3,4,4,4,,5,3,4,3,4,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153359,77,5,7  EDMUND AVE ,3,4,12,4,1928,2017
6909,,6,41,4,4,4,03/07/2019,3,4,4,3,3,5,4,4,3,3,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153362,75,5,394  AVENUE RD ,4,,12,4,1931,2017
6910,,3,26,,4,3,10/29/2019,4,4,4,3,3,5,4,3,3,4,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153851,73,4,15  SHERWOOD AVE ,4,3,15,4,1930,2017
6911,4,4,32,,4,4,10/30/2019,4,5,5,5,,5,4,4,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153855,85,4,100  KEEWATIN AVE ,4,4,15,4,1955,2017
6912,,6,105,4,3,4,01/09/2018,4,4,4,4,4,5,4,3,4,4,18,4,4,TCHC,Evaluation needs to be conducted in 2 years,4153857,79,4,2567  YONGE ST ,4,,15,4,1987,2017
6913,,3,32,,3,4,10/30/2019,4,3,4,4,,5,5,5,4,3,14,,,PRIVATE,Evaluation needs to be conducted in 3 years,4153862,83,5,2867  YONGE ST ,4,,15,5,1928,2017
6914,5,17,95,4,5,5,12/02/2019,5,4,5,5,4,5,4,5,4,5,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153873,92,5,9  DEER PARK CRES ,5,4,12,5,1965,2017
6915,,9,54,3,4,4,03/13/2019,3,3,3,4,,5,2,4,2,4,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153882,68,5,110  ST CLAIR AVE W,2,3,12,3,1938,2017
6916,5,7,96,4,3,3,12/14/2018,4,4,4,4,4,5,3,3,3,3,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154345,73,4,1550  LAWRENCE AVE W,3,3,5,4,1963,2017
6917,5,6,90,4,3,3,12/17/2018,3,3,3,5,3,5,4,3,3,4,19,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154346,71,5,1560  LAWRENCE AVE W,3,2,5,4,1962,2017
6918,,3,11,,4,4,12/13/2018,4,4,4,4,,5,4,4,4,4,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154353,80,4,2420  KEELE ST ,4,,5,4,1958,2017
6919,,3,12,,3,3,11/04/2019,3,3,3,3,,3,3,3,3,3,15,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154363,61,4,835  WILSON AVE ,3,,6,3,1960,2017
6920,,3,12,,3,3,11/04/2019,4,4,3,3,,3,3,3,3,3,15,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154364,64,4,833  WILSON AVE ,3,,6,3,1960,2017
6921,5,4,50,5,4,4,11/18/2019,4,4,4,3,3,5,5,4,4,3,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154380,79,3,27  PAXTONIA BLVD ,4,3,6,4,1953,2017
6922,4,3,50,4,4,3,11/18/2019,4,4,4,3,3,4,4,4,4,3,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154381,75,4,31  PAXTONIA BLVD ,4,3,6,4,1964,2017
6923,4,4,54,3,4,4,10/28/2019,3,4,3,4,4,4,4,3,4,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154737,72,4,29  UPPER CANADA DR ,3,3,15,3,1965,2017
6924,3,28,217,4,3,4,11/06/2019,4,3,4,4,4,5,4,3,5,5,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154762,82,5,45  GRENOBLE DR ,4,,16,5,1966,2017
6925,5,17,284,3,4,4,11/06/2019,4,3,4,4,3,5,5,3,5,4,20,4,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154768,79,5,10  GRENOBLE DR ,5,2,16,5,1969,2017
6926,4,22,310,5,4,4,03/14/2019,4,4,4,4,3,3,3,3,4,3,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155302,69,3,52  MABELLE AVE ,2,3,3,3,1974,2017
6927,4,12,88,3,3,3,12/05/2018,4,4,4,4,4,4,3,3,4,4,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155692,72,4,1875  MARTIN GROVE RD ,3,,1,4,1971,2017
6928,,3,23,,4,4,10/30/2019,3,3,4,4,,5,4,4,4,4,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156288,77,4,11  THIRTY THIRD ST ,4,,3,4,1970,2017
6929,,3,18,,4,4,03/14/2019,4,4,4,3,,5,4,5,4,3,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152919,80,5,29  JANE ST ,4,,4,3,1910,2017
6930,,0,49,,,,,,,,,,,,,,,0,,,PRIVATE,,4153373,,,2  CLARENDON AVE ,,,12,,1929,2017
6931,3,10,141,3,4,4,01/12/2018,3,3,3,3,3,5,4,4,4,4,19,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153384,72,4,2  MARKET ST ,3,,10,3,1997,
6932,5,12,63,5,5,4,12/02/2019,4,4,5,5,5,5,5,4,5,5,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153884,95,5,565  AVENUE RD ,5,5,12,5,1952,2017
6933,4,6,73,4,4,4,11/27/2019,3,4,4,3,,5,3,4,3,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153893,78,5,1603  BATHURST ST ,4,3,12,5,1954,2017
